PQ,K,Quantization_time,Total_time
1, 100,  165.594971, 18108.281006
1, 100,  97.573975, 18161.782959
1, 100,  59.904785, 18166.979980
1, 100,  45.563965, 18178.123779
1, 100,  41.576904, 18182.495117
1, 100,  38.971191, 18199.893066
1, 100,  59.083984, 18208.009033
1, 100,  80.560059, 18210.910156
1, 100,  115.834961, 18235.333984
1, 100,  97.198975, 18235.266846
1, 100,  77.111084, 18231.658203
1, 100,  71.975830, 18245.065918
1, 100,  127.274902, 18249.153076
1, 100,  59.298828, 18280.557861
1, 100,  126.331787, 18280.370850
1, 100,  54.747070, 18290.938965
1, 100,  70.265869, 18296.239014
1, 100,  53.751953, 18287.013916
1, 100,  65.256836, 18319.152832
1, 100,  36.208008, 18323.321045
1, 100,  39.074951, 18333.467041
1, 100,  41.615967, 18340.745850
1, 100,  123.134766, 18381.627930
1, 100,  124.145020, 18421.711182
1, 100,  58.335938, 18480.132080
1, 100,  135.193848, 18485.930908
1, 100,  68.578857, 18495.687988
1, 100,  113.090088, 18482.394043
1, 100,  121.294922, 18507.133057
1, 100,  60.910889, 18522.169922
1, 100,  109.677002, 18528.560059
1, 100,  98.746826, 18529.782959
1, 100,  39.534912, 18535.133057
1, 100,  146.710938, 18545.036865
1, 100,  71.364990, 18576.131104
1, 100,  139.262939, 18598.415039
1, 100,  105.171143, 18629.125000
1, 100,  101.122803, 18674.714844
1, 100,  62.967041, 18686.478027
1, 100,  77.935059, 18693.998047
1, 100,  67.950195, 18720.394043
1, 100,  109.129883, 18743.189941
1, 100,  81.895020, 18746.230957
1, 100,  70.848145, 18741.324219
1, 100,  152.614014, 18749.714111
1, 100,  40.974854, 18770.804932
1, 100,  74.035889, 18771.794922
1, 100,  65.646973, 18781.015869
1, 100,  147.871826, 18829.066895
1, 100,  89.002930, 18833.906006
1, 100,  62.463135, 18841.236084
1, 100,  125.673096, 18838.100098
1, 100,  154.506104, 18851.643066
1, 100,  148.125977, 18853.773926
1, 100,  102.908936, 18853.110107
1, 100,  41.625000, 18881.797852
1, 100,  37.252930, 18899.984863
1, 100,  65.637939, 18902.718994
1, 100,  117.087158, 18906.009033
1, 100,  118.521973, 18907.398926
1, 100,  114.645020, 18897.603027
1, 100,  82.336914, 18913.908936
1, 100,  69.209961, 18947.378906
1, 100,  36.201904, 18948.475830
1, 100,  93.495850, 18950.359863
1, 100,  36.680908, 18950.406982
1, 100,  112.811035, 18936.020996
1, 100,  39.141846, 18955.135010
